60 60 20000 2 50
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 005 015 006 009 033 013 032 003 028 031 
*** *** 005 *** *** *** *** *** 025 000 *** *** 024 *** 021 *** 025 *** *** *** *** 028 *** 000 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 033 
*** 016 *** *** *** *** *** *** *** 031 001 015 *** *** *** 022 *** 030 *** *** *** 000 006 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 003 
014 004 010 000 011 004 029 012 007 018 033 015 011 027 013 014 021 034 011 006 015 AAA *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 000 
*** *** *** *** *** *** *** *** *** 017 *** *** *** *** *** *** *** *** *** *** *** *** 024 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 005 
*** *** *** *** *** *** *** *** 011 *** *** *** *** *** *** *** *** *** *** *** *** *** *** 013 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 022 
*** *** *** *** *** *** *** 030 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 009 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 025 
*** *** *** *** *** *** 025 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 027 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 032 
*** *** *** *** *** 003 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 024 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 012 
*** *** *** *** 009 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 032 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 032 
*** *** *** 015 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 020 031 030 012 027 011 028 025 030 030 017 034 007 021 019 021 006 018 033 013 033 017 006 010 023 009 013 017 006 024 014 006 
*** *** 020 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 030 019 014 028 006 019 022 030 003 008 014 000 019 019 017 011 011 028 018 023 029 025 026 014 006 011 014 025 011 000 033 
*** 012 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 006 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 022 
014 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 015 008 025 021 031 007 018 024 029 007 030 011 026 018 027 028 003 030 015 032 009 022 029 011 034 008 032 018 034 
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 
