70 70 20000 2 50
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 010 023 003 008 010 003 002 015 024 006 007 020 003 020 013 009 011 013 001 009 024 024 008 019 000 008 003 003 012 011 003 002 001 011 
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 000 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 017 *** *** *** *** *** *** 
008 013 *** 019 014 002 017 009 001 *** 013 017 019 019 024 003 011 011 007 003 000 018 011 017 *** *** *** 004 021 *** 001 024 022 003 024 021 020 006 021 000 002 024 024 018 021 *** *** *** *** 018 008 001 000 005 000 009 009 011 023 014 022 023 007 008 020 020 005 009 011 019 
018 *** 012 020 000 015 011 013 *** 011 010 017 014 010 018 002 023 015 008 008 010 015 023 *** *** *** 008 023 *** 006 018 021 005 011 012 014 009 009 010 023 008 007 017 009 *** *** *** *** *** *** 019 015 006 000 011 015 003 021 014 005 020 002 015 003 005 004 001 005 011 008 
*** 005 013 008 022 021 004 *** 011 004 020 010 016 017 001 010 024 003 024 018 002 000 *** *** *** 019 012 *** 023 012 014 017 005 021 021 005 005 017 008 007 006 022 023 *** *** *** *** *** *** *** *** 019 019 022 012 012 014 000 013 010 013 020 022 020 022 009 006 003 010 016 
012 007 006 021 008 004 *** 013 006 017 000 007 008 010 019 008 017 009 004 007 021 *** *** *** 022 014 *** 019 014 009 018 023 018 024 016 020 019 008 007 007 020 024 *** *** *** *** *** *** *** *** *** *** 004 023 018 004 012 006 016 004 021 021 000 002 022 002 005 002 017 000 
020 001 001 005 011 *** 010 023 012 007 019 022 011 011 017 012 020 001 016 007 *** *** *** 010 014 *** 001 000 020 015 017 022 005 006 021 018 022 009 002 012 003 *** *** *** *** *** *** *** *** *** *** *** *** 024 016 019 018 007 021 009 018 015 005 012 019 013 010 001 006 023 
014 018 019 007 *** 020 006 023 020 023 016 014 020 017 000 019 005 006 024 *** *** *** 014 023 *** 003 021 009 019 024 017 011 017 022 024 002 021 016 015 014 *** *** *** *** *** *** *** *** *** *** *** *** *** *** 024 011 002 000 024 017 004 009 003 022 022 020 013 006 009 014 
018 003 011 *** 023 015 023 021 008 015 009 004 006 013 020 017 014 021 *** *** *** 009 020 *** 009 013 006 003 008 016 009 015 005 003 005 018 016 017 016 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 004 020 016 019 001 017 021 018 002 017 002 005 005 008 011 
002 010 *** 004 004 004 016 005 016 015 005 009 019 011 014 007 000 *** *** *** 018 000 *** 021 016 001 009 015 016 000 015 001 005 005 009 002 008 004 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 017 020 002 009 002 005 012 023 009 009 013 023 016 015 
009 *** 002 023 001 004 000 005 000 016 011 002 005 007 006 009 *** *** *** 021 007 *** 010 002 000 000 005 011 016 016 012 017 017 017 003 021 000 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 020 001 020 004 023 017 022 005 017 001 015 003 019 
*** 016 015 003 018 013 004 015 021 006 005 008 023 007 018 *** *** *** 007 000 *** 016 018 007 020 011 004 007 016 001 010 014 014 005 012 006 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 006 002 012 015 024 009 011 022 016 000 017 022 
022 010 007 012 001 023 005 002 001 006 017 024 024 015 *** *** *** 024 019 *** 020 009 010 017 023 005 023 004 004 003 015 004 010 021 016 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 022 004 002 021 020 017 003 024 022 020 017 
009 014 003 020 012 009 006 019 024 008 013 019 005 *** *** *** 020 021 *** 014 019 008 020 009 007 019 008 018 020 003 008 020 007 022 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 005 018 017 014 013 021 002 016 012 007 
006 021 004 024 010 008 010 024 020 012 016 012 *** *** *** 017 012 *** 014 022 023 015 004 023 022 005 003 013 018 009 024 006 005 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 010 013 005 002 004 021 019 006 005 
020 014 015 007 014 018 009 009 021 016 001 *** *** *** 011 007 *** 006 013 018 007 000 005 016 006 007 018 015 016 008 022 019 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 013 009 021 005 017 002 013 007 
009 002 007 019 012 003 005 021 013 005 *** *** *** 010 011 *** 021 009 007 000 014 009 011 013 005 002 005 001 007 023 011 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 003 001 012 018 003 020 018 
023 009 005 000 001 005 013 024 009 *** *** *** 024 001 *** 024 017 011 022 001 010 005 004 024 022 019 002 010 019 002 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 006 000 004 002 006 009 
002 002 015 019 019 013 008 011 *** *** *** 008 005 *** 002 007 018 000 012 009 010 007 016 011 023 017 007 007 016 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 015 009 004 021 002 
006 022 023 020 010 019 022 *** *** *** 012 011 *** 005 014 023 003 004 009 009 001 001 020 022 008 011 017 024 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 020 008 000 009 
002 004 021 014 021 024 *** *** *** 001 024 *** 007 008 015 007 024 014 022 003 017 006 014 002 006 018 016 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 003 017 017 
014 009 013 006 013 *** *** *** 014 000 *** 016 001 009 021 022 000 009 018 016 002 018 024 021 021 021 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 020 023 
007 024 015 010 *** *** *** 021 002 *** 010 012 010 010 002 012 018 001 024 022 004 017 016 015 023 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 022 
009 003 000 *** *** *** 017 015 *** 000 008 023 020 016 008 011 022 004 000 018 005 014 015 013 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 008 
011 014 *** *** *** 009 020 *** 024 016 014 023 022 013 014 022 009 016 001 016 000 019 006 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 001 
009 *** *** *** 006 007 *** 010 002 009 009 010 017 018 022 000 010 006 007 012 006 001 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 021 
*** *** *** 001 000 *** 007 020 024 022 019 010 021 005 004 023 006 016 005 004 021 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 016 
*** *** 020 000 *** 017 000 013 017 015 012 000 022 000 012 022 000 007 024 009 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 007 
*** 022 002 *** 015 019 016 004 009 000 013 009 016 006 019 000 001 014 002 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 006 
004 020 *** 015 022 007 006 002 011 012 000 005 023 007 021 024 015 022 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 009 
005 *** 007 000 011 007 007 001 012 018 005 016 020 011 006 013 013 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 004 
*** 002 016 011 018 016 010 004 006 020 024 010 005 018 021 017 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 000 
004 020 017 022 003 001 001 012 011 012 011 000 015 018 011 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 014 
023 012 004 019 023 024 020 009 019 012 003 010 007 015 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 016 
000 012 000 000 006 013 017 004 005 005 016 022 010 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 017 
007 009 002 018 006 005 015 007 013 023 014 002 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 014 
017 021 005 013 015 016 003 003 004 016 013 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 004 
009 011 002 017 007 016 001 017 017 001 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 006 
012 003 012 016 009 004 010 022 005 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 004 
008 015 011 012 019 023 019 000 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 015 
021 001 023 005 023 009 000 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 014 
012 020 011 024 021 014 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 024 
012 009 020 007 004 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 013 
011 009 019 014 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 014 
004 013 023 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 021 
001 021 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 006 
005 *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 002 
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 016 
*** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** *** 
